harp_num,t_rec,noaa_num,latdtmin,londtmin,latdtmax,londtmax
12,2010.05.04_13:00:00_TAI,11068,-23.5504,-78.9151,-16.6392,-63.037399
12,2010.05.13_00:00:00_TAI,11068,-23.5504,34.053501,-16.6392,49.931198
12,2010.05.05_22:00:00_TAI,11068,-23.5504,-60.550701,-16.6392,-44.673
12,2010.05.12_23:00:00_TAI,11068,-23.5504,33.497002,-16.6392,49.374699
12,2010.05.07_02:00:00_TAI,11068,-23.5504,-44.968899,-16.6392,-29.0912
12,2010.05.05_02:00:00_TAI,11068,-23.5504,-71.680603,-16.6392,-55.802898
12,2010.05.12_22:00:00_TAI,11068,-23.5504,32.940498,-16.6392,48.818199
12,2010.05.07_03:00:00_TAI,11068,-23.5504,-44.412399,-16.6392,-28.5347
12,2010.05.04_12:00:00_TAI,11068,-23.5504,-79.471603,-16.6392,-63.593899
12,2010.05.12_21:00:00_TAI,11068,-23.5504,32.383999,-16.6392,48.2617
12,2010.05.07_04:00:00_TAI,11068,-23.5504,-43.8559,-16.6392,-27.978201
12,2010.05.12_20:00:00_TAI,11068,-23.5504,31.827499,-16.6392,47.7052
12,2010.05.07_05:00:00_TAI,11068,-23.5504,-43.2994,-16.6392,-27.4217
12,2010.05.05_08:00:00_TAI,11068,-23.5504,-68.341698,-16.6392,-52.464001
12,2010.05.04_11:00:00_TAI,11068,-23.5504,-80.028099,-16.6392,-64.150398
12,2010.05.07_06:00:00_TAI,11068,-23.5504,-42.742901,-16.6392,-26.8652
12,2010.05.12_19:00:00_TAI,11068,-23.5504,31.271,-16.6392,47.148701
12,2010.05.05_21:00:00_TAI,11068,-23.5504,-61.107201,-16.6392,-45.2295
12,2010.05.07_07:00:00_TAI,11068,-23.5504,-42.186401,-16.6392,-26.308701
12,2010.05.06_20:00:00_TAI,11068,-23.5504,-48.3078,-16.6392,-32.430099
12,2010.05.13_09:00:00_TAI,11068,-23.5504,39.061901,-16.6392,54.939602
12,2010.05.06_19:00:00_TAI,11068,-23.5504,-48.8643,-16.6392,-32.986599
12,2010.05.06_00:00:00_TAI,11068,-23.5504,-59.437698,-16.6392,-43.560001
12,2010.05.04_23:00:00_TAI,11068,-23.5504,-73.350098,-16.6392,-57.472401
12,2010.05.06_05:00:00_TAI,11068,-23.5504,-56.6553,-16.6392,-40.777599
12,2010.05.06_06:00:00_TAI,11068,-23.5504,-56.098801,-16.6392,-40.2211
12,2010.05.04_22:00:00_TAI,11068,-23.5504,-73.906601,-16.6392,-58.0289
12,2010.05.06_07:00:00_TAI,11068,-23.5504,-55.542301,-16.6392,-39.6646
12,2010.05.06_08:00:00_TAI,11068,-23.5504,-54.985802,-16.6392,-39.108101
12,2010.05.06_03:00:00_TAI,11068,-23.5504,-57.768299,-16.6392,-41.890598
12,2010.05.04_21:00:00_TAI,11068,-23.5504,-74.463097,-16.6392,-58.5854
12,2010.05.06_09:00:00_TAI,11068,-23.5504,-54.429298,-16.6392,-38.551601
12,2010.05.06_10:00:00_TAI,11068,-23.5504,-53.872799,-16.6392,-37.995098
12,2010.05.05_00:00:00_TAI,11068,-23.5504,-72.793602,-16.6392,-56.915901
12,2010.05.04_20:00:00_TAI,11068,-23.5504,-75.0196,-16.6392,-59.141899
12,2010.05.06_11:00:00_TAI,11068,-23.5504,-53.316299,-16.6392,-37.438599
12,2010.05.04_19:00:00_TAI,11068,-23.5504,-75.576103,-16.6392,-59.698399
12,2010.05.12_18:00:00_TAI,11068,-23.5504,30.7145,-16.6392,46.592201
12,2010.05.06_12:00:00_TAI,11068,-23.5504,-52.7598,-16.6392,-36.882099
12,2010.05.06_13:00:00_TAI,11068,-23.5504,-52.2033,-16.6392,-36.3256
12,2010.05.04_18:00:00_TAI,11068,-23.5504,-76.132599,-16.6392,-60.254902
12,2010.05.06_14:00:00_TAI,11068,-23.5504,-51.646801,-16.6392,-35.7691
12,2010.05.06_15:00:00_TAI,11068,-23.5504,-51.090302,-16.6392,-35.212601
12,2010.05.06_16:00:00_TAI,11068,-23.5504,-50.533798,-16.6392,-34.656101
12,2010.05.06_01:00:00_TAI,11068,-23.5504,-58.881199,-16.6392,-43.003502
12,2010.05.06_17:00:00_TAI,11068,-23.5504,-49.977299,-16.6392,-34.099602
12,2010.05.04_17:00:00_TAI,11068,-23.5504,-76.689102,-16.6392,-60.811401
12,2010.05.13_12:00:00_TAI,11068,-23.5504,40.7314,-16.6392,56.6091
12,2010.05.06_18:00:00_TAI,11068,-23.5504,-49.420799,-16.6392,-33.543098
12,2010.05.05_01:00:00_TAI,11068,-23.5504,-72.237099,-16.6392,-56.359402
12,2010.05.04_16:00:00_TAI,11068,-23.5504,-77.245598,-16.6392,-61.367901
12,2010.05.13_11:00:00_TAI,11068,-23.5504,40.1749,-16.6392,56.052601
12,2010.05.13_10:00:00_TAI,11068,-23.5504,39.618401,-16.6392,55.496101
12,2010.05.06_02:00:00_TAI,11068,-23.5504,-58.324799,-16.6392,-42.447102
12,2010.05.05_20:00:00_TAI,11068,-23.5504,-61.6637,-16.6392,-45.785999
12,2010.05.07_01:00:00_TAI,11068,-23.5504,-45.525398,-16.6392,-29.647699
12,2010.05.04_10:00:00_TAI,11068,-23.5504,-80.584602,-16.6392,-64.706902
12,2010.05.07_15:00:00_TAI,11068,-23.5504,-37.734402,-16.6392,-21.856701
12,2010.05.04_04:00:00_TAI,11068,-23.5504,-83.9235,-16.6392,-68.045799
12,2010.05.07_16:00:00_TAI,11068,-23.5504,-37.177898,-16.6392,-21.3002
12,2010.05.04_06:00:00_TAI,11068,-23.5504,-82.810501,-16.6392,-66.9328
12,2010.05.12_09:00:00_TAI,11068,-23.5504,25.705999,-16.6392,41.583698
12,2010.05.05_17:00:00_TAI,11068,-23.5504,-63.333199,-16.6392,-47.455502
12,2010.05.08_00:00:00_TAI,11068,-23.5504,-32.726002,-16.6392,-16.848301
12,2010.05.12_01:00:00_TAI,11068,-23.5504,21.254101,-16.6392,37.131802
12,2010.05.12_02:00:00_TAI,11068,-23.5504,21.8106,-16.6392,37.688301
12,2010.05.07_17:00:00_TAI,11068,-23.5504,-36.621399,-16.6392,-20.7437
12,2010.05.12_08:00:00_TAI,11068,-23.5504,25.1495,-16.6392,41.027199
