Events,EName,Start,Stop,peak,GOES Class,Derived Position,flare_24h,longitude
4,gev_20150822_2119,2015-08-22 21:19:00,21:28:00,21:24:00,M3.5,S16E15(2403),0,0
16,gev_20150824_0726,2015-08-24 07:26:00,07:35:00,07:33:00,M5.6,S14E00(2403),0,0
4,gev_20150822_0639,2015-08-22 06:39:00,06:59:00,06:49:00,M1.2,S15E13(2403),0,0
9,gev_20150822_1317,2015-08-22 13:17:00,13:29:00,13:23:00,M2.2,S16E19(2403),0,0
15,gev_20150822_2119,2015-08-22 21:19:00,21:28:00,21:24:00,M3.5,S16E15(2403),0,0
8,gev_20150821_0156,2015-08-21 01:56:00,02:37:00,02:18:00,M1.2,S12E38(2403),0,0
11,gev_20150821_0934,2015-08-21 09:34:00,10:07:00,09:48:00,M1.4,S17E26(2403),0,0
13,gev_20150821_1910,2015-08-21 19:10:00,20:50:00,20:34:00,M1.1,S15E27(2403),0,0
17,gev_20150822_0639,2015-08-22 06:39:00,06:59:00,06:49:00,M1.2,S15E13(2403),0,0
17,gev_20150821_0156,2015-08-21 01:56:00,02:37:00,02:18:00,M1.2,S12E38(2403),0,0
